id,body,source_author,source_title,score
pd8c2a808a0ef886,そんなら耳もきこえないのだから、何を云ってもわかるまい。,かぐつちみどり,オシャベリ姫,0.5875
pdb2d6e39db8d025,ミミは草の葉を綟り合わせた糸に、その花を一つ一つつなぎまして、長い長い花の鎖にしてゆきました。,とだけん,ルルとミミ,0.5591
pd2d500acd9f3ceb,夜は真っ暗で、人家の壁も見えず、暗い空からは何ひとつの光りも見えないのです。,アナトール・フランス,世界怪談名作集,0.6658
pd49573962fea24e,とどろく音声が死にたえ、静まりかえった完全に冷たい雰囲気が、みんなの頭上を支配した。,アルジャーノン・ブラックウッド,秘密礼拝式,0.5642
pd164e1ced2b261a,わたしの言うことが聞こえないのですか。,アレクサンドル・セルゲーヴィチ・プーシキン,世界怪談名作集,0.6146
pd1dfc1209ad5c7c,やがて一時間ほどすると、ピアノの弾奏が聞こえて、その音色が微かにおぼろげに伝わって来るのだった。,アントン・チェーホフ,犬を連れた奥さん,0.6619
pd34e8951ee14a8f,世の中にはおれたちに聞こえない物音がある。,アンブローズ・ビアス,世界怪談名作集,0.674
pd1c0e515398c48b,――私はしばらくの間、何か不安に駈られながらそこに立っておりました。,アーサー・コナン・ドイル,株式仲買店々員,0.6908
pda361f1027d1669,私の訳文は我ながら不思議とソノ何んだが、これでも原文はきわめておもしろいです。,イワン・ツルゲーネフ,あいびき,0.4887
pd2499612def48fd,つい口を開けて物を言えば、己の身の上が分からないことはあるまい。,ウィルヘルム・シュミットボン,鴉,0.6057
pd4c983191c2cb0c,わたしはそこに半分目がくらんだようになって立っていた。,エクトール・アンリ・マロ,家なき子,0.7549
pdcb9c91a5de61fc,次に長い間をおいてから、耳鳴りがする。,エドガー・アラン・ポー,早すぎる埋葬,0.6739
pdffb1d7edebf287,ただそこに棒のように立っていました。,エドモンド・デ・アミーチス,母を尋ねて三千里,0.7339
pdabc56a076597cf,しかもその形はなんにも見えないで、ただその跫音が聞こえるばかりであった。,エドワード・ジョージ・アール・ブルワー・リットン,世界怪談名作集,0.6514
pdfcdc06dda83932,ただ、あんなに長い間わたしを苦しめていた魔法から解放されたということだけは、自分にも感じられた。,エルンスト・テオドーア・アマーデウス・ホフマン,世界怪談名作集,0.5957
pd47a2aacc5b8278,もうなんにもすまいと思って、ただ町をぶらついていた。,オシップ・ディモフ,襟,0.6475
pd3598d426a6493b,また酒場の方からはさかんにコルクを抜く音が聞こえて来た。,オスカー・ワイルド,絵姿,0.666
pdfe45ecf58f8f61,軒並のハイカラな飾窓の硝子に、日やけして鳶色に光っている顔をうつしてみました。,オン・ワタナベ,兵士と女優,0.5496
pd9287b8ba4c550e,そして暗い階段を降りて、暗くなつた庭へ出て行つた。,ギルバート・キース・チェスタートン,とけない問題,0.6589
pd5819249e470b56,けれども車大工には気のせいか、その辺の闇のなかで呻くような声が幽かに聞えるようだった。,ギ・ド・モーパッサン,親ごころ,0.6377
pdf44e6bddeb64dd,お前のほうに部下がいるなら、こっちにもいるんだ。,サキ,第三者,0.6106
